Date,Adj Close,Close,High,Low,Open,Volume
2023-06-22,1100.456298828125,1126.64501953125,1144.5374755859375,1124.635009765625,1140.0,998060
2023-06-23,1100.6492919921875,1126.842529296875,1130.99755859375,1122.6824951171875,1126.64501953125,870300
2023-06-26,1105.2376708984375,1131.5400390625,1135.0,1125.25,1126.00244140625,700300
2023-06-27,1105.552490234375,1131.862548828125,1143.5,1125.2550048828125,1131.5675048828125,882660
2023-06-28,1110.7708740234375,1137.2049560546875,1140.0,1129.0,1133.5,1112480
2023-06-30,1118.1063232421875,1144.7149658203125,1147.3125,1131.25,1137.5,737240
2023-07-03,1105.3228759765625,1131.62744140625,1147.5,1129.1500244140625,1147.5,1105380
2023-07-04,1104.9078369140625,1131.2025146484375,1142.25,1126.2750244140625,1137.4000244140625,602980
2023-07-05,1118.3797607421875,1144.9949951171875,1147.199951171875,1129.0,1129.300048828125,777760
2023-07-06,1128.1253662109375,1154.9725341796875,1169.62255859375,1145.25,1146.75,1807340
2023-07-07,1118.6876220703125,1145.31005859375,1162.342529296875,1142.5,1157.75244140625,1129280
2023-07-10,1102.768798828125,1129.012451171875,1152.1199951171875,1127.5,1143.449951171875,727760
2023-07-11,1116.05517578125,1142.614990234375,1147.9925537109375,1127.5150146484375,1130.5,1370520
2023-07-12,1126.201171875,1153.00244140625,1155.0,1140.8499755859375,1146.949951171875,961800
2023-07-13,1114.5142822265625,1141.0374755859375,1156.0775146484375,1138.842529296875,1153.00244140625,864320
2023-07-14,1130.010498046875,1156.9024658203125,1160.0,1140.0,1141.0374755859375,909140
2023-07-17,1126.7237548828125,1153.5374755859375,1169.7674560546875,1147.75,1160.0,835900
2023-07-18,1122.1524658203125,1148.8575439453125,1159.5,1141.0250244140625,1159.5,651680
2023-07-19,1120.3846435546875,1147.0474853515625,1151.25,1140.074951171875,1147.5,557620
2023-07-20,1123.6566162109375,1150.3974609375,1154.2249755859375,1137.550048828125,1147.050048828125,755840
2023-07-21,1122.416259765625,1149.12744140625,1161.5975341796875,1145.6400146484375,1150.74755859375,736860
2023-07-24,1114.4825439453125,1141.0050048828125,1152.4300537109375,1135.387451171875,1149.0074462890625,841620
2023-07-25,1112.177490234375,1138.64501953125,1157.0,1133.762451171875,1157.0,1251520
2023-07-26,1113.49609375,1139.9949951171875,1145.0,1135.0999755859375,1139.5450439453125,689240
2023-07-27,1090.317626953125,1116.2650146484375,1145.0,1103.802490234375,1142.9599609375,3587480
2023-07-28,1097.9169921875,1124.0450439453125,1131.592529296875,1109.364990234375,1116.2650146484375,1344220
2023-07-31,1101.45263671875,1127.6650390625,1132.699951171875,1121.4849853515625,1132.5,972180
2023-08-01,1103.42578125,1129.68505859375,1134.5,1121.25,1130.4150390625,1300380
2023-08-02,1117.5203857421875,1144.114990234375,1146.907470703125,1125.530029296875,1134.5,2093220
2023-08-03,1097.6678466796875,1123.7900390625,1144.3974609375,1120.0975341796875,1144.3974609375,899420
2023-08-04,1096.62744140625,1122.7249755859375,1134.9425048828125,1120.5999755859375,1124.7974853515625,820200
2023-08-07,1096.86181640625,1122.9649658203125,1127.5799560546875,1107.5,1122.7249755859375,824920
2023-08-08,1085.6268310546875,1111.4625244140625,1124.947509765625,1105.0,1123.5,1160640
2023-08-09,1085.0968017578125,1110.9200439453125,1117.8125,1108.1300048828125,1114.0,745700
2023-08-10,1073.9300537109375,1099.487548828125,1112.2275390625,1094.75,1108.1500244140625,1411580
2023-08-11,1066.7340087890625,1092.1199951171875,1100.5,1087.5,1099.487548828125,767260
2023-08-14,1069.5224609375,1094.9749755859375,1102.0,1085.4625244140625,1092.2125244140625,815760
2023-08-16,1071.88623046875,1097.39501953125,1106.5,1089.2674560546875,1106.5,578600
2023-08-17,1058.189697265625,1083.37255859375,1101.4150390625,1080.1199951171875,1095.0,1399840
2023-08-18,1066.1282958984375,1091.5,1094.0,1072.5,1083.37255859375,1313340
2023-08-21,1076.1083984375,1101.717529296875,1108.8050537109375,1086.7674560546875,1091.5,741920
2023-08-22,1075.697998046875,1101.2974853515625,1104.62255859375,1095.302490234375,1101.717529296875,810440
2023-08-23,1083.3753662109375,1109.157470703125,1113.489990234375,1097.5,1105.0,1227560
2023-08-24,1086.39111328125,1112.2449951171875,1114.5,1107.1650390625,1114.1500244140625,920400
2023-08-25,1083.63671875,1109.425048828125,1114.0224609375,1105.5625,1109.5,839280
2023-08-28,1076.1131591796875,1101.7225341796875,1110.7275390625,1100.0,1109.574951171875,830140
2023-08-29,1077.507568359375,1103.1500244140625,1108.989990234375,1097.5,1103.5224609375,1048560
2023-08-30,1084.125,1109.925048828125,1114.0,1100.5074462890625,1103.1500244140625,1296640
2023-08-31,1073.7664794921875,1099.3199462890625,1114.449951171875,1083.50244140625,1112.5,4661300
2023-09-01,1070.306396484375,1095.7774658203125,1105.4849853515625,1093.0,1102.5,716980
